assigned_droplet_id,initial_droplet_id,frame,initial_pixels,duplicate_pixels
1,1,5,3,
1,2,6,,14
3,3,9,26,
4,4,9,1,
5,5,28,2,
6,6,29,5,
6,8,30,,20
6,9,31,,31
6,10,32,,21
6,12,33,,12
7,7,30,1,
11,11,33,1,
13,13,36,1,
14,14,36,1,
15,15,37,15,
16,16,39,13,
17,17,39,3,
18,18,44,2,
19,19,46,6,
19,20,47,,2
21,21,66,3,
22,22,69,1,
23,23,70,1,
24,24,94,1,
25,25,105,31,
25,26,106,,31
27,27,118,11,
28,28,121,1,
29,29,123,7,
29,30,124,,16
31,31,125,2,
32,32,127,2,
33,33,133,1,
34,34,137,1,
35,35,137,1,
36,36,149,15,
36,38,150,,10
37,37,149,1,
39,39,167,1,
40,40,173,20,
40,42,174,,35
40,44,175,,21
41,41,174,1,
43,43,175,1,
45,45,184,1,
46,46,201,6,
47,47,204,1,
48,48,204,2,
49,49,210,9,
50,50,213,4,
50,51,214,,10
50,52,215,,10
53,53,224,1,
54,54,230,2,
55,55,233,1,
56,56,244,1,
57,57,249,1,
58,58,250,2,
59,59,256,11,
59,61,257,,3
60,60,257,1,
62,62,259,30,
62,63,260,,18
64,64,262,16,
64,66,263,,22
65,65,262,11,
67,67,265,1,
68,68,270,16,
69,69,274,3,
69,70,275,,8
71,71,277,2,
72,72,277,8,
72,73,278,,5
74,74,282,2,
75,75,286,2,
76,76,288,13,
76,77,289,,2
78,78,293,1,
79,79,294,1,
80,80,294,12,
81,81,295,7,
81,82,296,,3
83,83,297,1,
84,84,303,1,
85,85,304,8,
86,86,316,1,
87,87,316,2,
88,88,317,5,
89,89,318,18,
90,90,318,21,
91,91,320,22,
91,94,321,,20
91,95,322,,18
91,99,323,,16
91,101,324,,10
91,106,325,,15
91,109,326,,15
91,115,327,,18
91,118,328,,16
91,120,329,,10
92,92,320,1,
93,93,320,31,
96,96,322,1,
97,97,322,10,
97,100,323,,43
97,104,324,,4
98,98,322,2,
102,102,324,8,
103,103,324,7,
105,105,325,7,
107,107,325,21,
107,113,326,,16
108,108,326,1,
108,114,327,,5
108,117,328,,7
108,119,329,,2
110,110,326,1,
111,111,326,1,
111,116,327,,9
112,112,326,18,
121,121,329,1,
122,122,330,1,
123,123,330,4,
123,125,331,,8
124,124,331,12,
126,126,332,1,
127,127,333,3,
127,130,334,,9
128,128,333,21,
129,129,333,6,
131,131,336,2,
132,132,338,12,
133,133,340,1,
134,134,340,1,
135,135,345,36,
136,136,345,14,
137,137,346,5,
137,138,347,,18
137,139,348,,23
137,140,349,,22
137,141,350,,27
137,144,351,,23
137,145,352,,11
142,142,350,21,
143,143,350,14,
146,146,352,2,
147,147,352,50,
147,149,353,,13
148,148,353,13,
148,151,354,,3
150,150,353,30,
150,153,354,,26
152,152,354,4,
154,154,356,9,
154,157,357,,1
155,155,357,1,
156,156,357,22,
158,158,359,8,
159,159,362,14,
160,160,363,7,
161,161,364,6,
161,164,365,,8
162,162,364,9,
163,163,364,9,
165,165,365,4,
165,167,366,,12
166,166,366,9,
166,168,367,,5
169,169,367,13,
170,170,367,14,
171,171,368,1,
172,172,368,7,
173,173,368,11,
174,174,368,6,
175,175,369,2,
176,176,369,11,
177,177,369,25,
178,178,369,7,
179,179,370,4,
180,180,371,17,
181,181,371,21,
182,182,371,20,
183,183,371,6,
184,184,371,2,
184,194,372,,10
184,208,373,,20
184,219,374,,4
185,185,371,12,
186,186,371,1,
187,187,371,30,
187,196,372,,24
187,210,373,,20
188,188,371,17,
189,189,371,32,
190,190,371,63,
190,198,372,,15
191,191,371,3,
192,192,371,12,
192,203,372,,13
193,193,371,16,
193,206,372,,33
193,213,373,,1
195,195,372,7,
197,197,372,21,
199,199,372,60,
199,212,373,,16
200,200,372,2,
200,211,373,,15
200,225,374,,7
200,234,375,,5
201,201,372,28,
202,202,372,5,
204,204,372,5,
205,205,372,9,
207,207,372,4,
207,214,373,,11
209,209,373,20,
215,215,374,3,
216,216,374,3,
217,217,374,2,
218,218,374,5,
220,220,374,2,
221,221,374,3,
222,222,374,10,
223,223,374,1,
224,224,374,3,
226,226,374,24,
227,227,374,1,
227,235,375,,8
228,228,374,6,
229,229,374,41,
230,230,374,14,
230,239,375,,4
231,231,374,3,
232,232,374,6,
233,233,375,1,
236,236,375,4,
237,237,375,6,
238,238,375,31,
240,240,376,14,
241,241,376,2,
242,242,376,18,
242,251,377,,43
243,243,376,2,
244,244,376,20,
244,256,377,,8
245,245,376,19,
246,246,376,21,
247,247,376,7,
248,248,376,4,
249,249,376,28,
250,250,377,23,
250,260,378,,1
252,252,377,8,
253,253,377,3,
253,261,378,,2
254,254,377,26,
255,255,377,15,
257,257,377,40,
258,258,377,4,
259,259,378,63,
262,262,378,5,
263,263,378,6,
264,264,378,14,
265,265,378,9,
265,273,379,,31
266,266,378,15,
267,267,378,9,
268,268,378,16,
269,269,378,16,
270,270,379,8,
270,282,380,,12
271,271,379,3,
272,272,379,92,
274,274,379,38,
275,275,379,5,
276,276,379,41,
276,284,380,,1
277,277,379,5,
278,278,379,30,
279,279,379,4,
280,280,379,15,
281,281,379,1,
283,283,380,28,
283,291,381,,25
285,285,380,2,
286,286,380,2,
287,287,380,27,
287,295,381,,9
288,288,380,7,
289,289,381,1,
289,299,382,,23
289,310,383,,2
290,290,381,2,
292,292,381,4,
293,293,381,1,
294,294,381,13,
296,296,382,3,
297,297,382,35,
298,298,382,38,
300,300,382,18,
301,301,382,15,
302,302,382,22,
303,303,382,21,
304,304,382,6,
305,305,382,7,
306,306,382,4,
306,311,383,,14
307,307,382,11,
308,308,382,19,
309,309,383,30,
309,319,384,,14
312,312,383,28,
313,313,383,6,
314,314,383,64,
314,327,384,,15
315,315,384,9,
316,316,384,17,
317,317,384,15,
318,318,384,1,
320,320,384,31,
321,321,384,12,
322,322,384,47,
323,323,384,18,
324,324,384,2,
325,325,384,2,
326,326,384,16,
328,328,384,11,
329,329,384,1,
330,330,384,10,
331,331,385,6,
332,332,385,36,
333,333,386,6,
333,337,387,,2
334,334,386,13,
335,335,386,1,
336,336,387,6,
338,338,387,3,
339,339,387,18,
340,340,388,19,
341,341,388,24,
342,342,388,38,
343,343,388,7,
343,347,389,,35
344,344,388,2,
345,345,388,5,
346,346,389,14,
346,348,390,,21
346,352,391,,24
346,358,392,,23
346,363,393,,3
349,349,390,18,
349,355,391,,10
350,350,391,3,
351,351,391,11,
353,353,391,4,
354,354,391,2,
356,356,391,1,
357,357,391,5,
357,361,392,,7
359,359,392,21,
360,360,392,16,
362,362,393,5,
364,364,393,26,
365,365,393,12,
366,366,394,3,
366,373,395,,5
367,367,394,11,
367,374,395,,3
368,368,394,3,
368,375,395,,15
369,369,394,4,
370,370,394,4,
371,371,394,2,
371,380,395,,7
372,372,394,3,
376,376,395,1,
377,377,395,9,
378,378,395,1,
379,379,395,5,
381,381,395,35,
382,382,395,3,
383,383,396,11,
384,384,396,17,
384,388,397,,13
385,385,396,5,
385,390,397,,37
386,386,397,16,
386,396,398,,20
386,398,399,,1
387,387,397,1,
389,389,397,2,
391,391,397,44,
392,392,398,5,
393,393,398,2,
394,394,398,2,
395,395,398,4,
397,397,398,18,
397,399,399,,5
400,400,399,14,
401,401,399,1,
402,402,399,6,
402,408,400,,2
402,414,401,,35
403,403,399,4,
404,404,400,16,
404,410,401,,18
405,405,400,10,
406,406,400,2,
407,407,400,2,
409,409,400,17,
409,416,401,,14
411,411,401,7,
412,412,401,5,
413,413,401,9,
415,415,401,25,
417,417,402,4,
417,421,403,,1
417,428,404,,16
418,418,402,2,
419,419,402,19,
419,424,403,,13
419,433,404,,18
420,420,402,6,
420,427,403,,12
422,422,403,19,
422,431,404,,16
423,423,403,14,
425,425,403,15,
426,426,403,14,
429,429,404,6,
430,430,404,25,
432,432,404,3,
434,434,405,29,
435,435,405,8,
436,436,406,1,
437,437,406,6,
438,438,407,4,
439,439,407,27,
439,449,408,,1
439,462,409,,12
440,440,408,9,
441,441,408,17,
441,452,409,,19
441,466,410,,18
441,481,411,,18
441,493,412,,22
441,505,413,,9
442,442,408,9,
442,453,409,,2
442,467,410,,4
443,443,408,1,
444,444,408,3,
445,445,408,1,
445,455,409,,20
446,446,408,10,
447,447,408,2,
448,448,408,1,
448,458,409,,10
448,471,410,,16
448,484,411,,23
448,497,412,,16
450,450,408,9,
451,451,409,1,
451,465,410,,19
451,478,411,,3
454,454,409,2,
456,456,409,9,
457,457,409,1,
459,459,409,14,
459,474,410,,14
460,460,409,2,
461,461,409,1,
463,463,409,4,
463,475,410,,3
464,464,409,7,
464,476,410,,1
468,468,410,1,
469,469,410,4,
470,470,410,2,
472,472,410,11,
473,473,410,3,
477,477,411,2,
479,479,411,12,
479,489,412,,18
479,500,413,,13
480,480,411,1,
480,490,412,,31
480,504,413,,34
482,482,411,2,
483,483,411,12,
485,485,411,34,
486,486,411,1,
487,487,412,4,
488,488,412,3,
